symbol,security_id,expiry,strike,exchange
PIIND-Jul2025-FUT,53419,,,NSE
PNB-Jul2025-FUT,53420,,,NSE
PNBHOUSING-Jul2025-FUT,53421,,,NSE
POLICYBZR-Jul2025-FUT,53422,,,NSE
POLYCAB-Jul2025-FUT,53423,,,NSE
POONAWALLA-Jul2025-FUT,53424,,,NSE
POWERGRID-Jul2025-FUT,53425,,,NSE
PRESTIGE-Jul2025-FUT,53426,,,NSE
RBLBANK-Jul2025-FUT,53427,,,NSE
RECLTD-Jul2025-FUT,53428,,,NSE
RELIANCE-Jul2025-FUT,53429,,,NSE
SAIL-Jul2025-FUT,53430,,,NSE
SBICARD-Jul2025-FUT,53431,,,NSE
SBILIFE-Jul2025-FUT,53432,,,NSE
SBIN-Jul2025-FUT,53433,,,NSE
SHREECEM-Jul2025-FUT,53434,,,NSE
SHRIRAMFIN-Jul2025-FUT,53435,,,NSE
SIEMENS-Jul2025-FUT,53436,,,NSE
SJVN-Jul2025-FUT,53437,,,NSE
SOLARINDS-Jul2025-FUT,53438,,,NSE
SONACOMS-Jul2025-FUT,53439,,,NSE
SRF-Jul2025-FUT,53440,,,NSE
SUNPHARMA-Jul2025-FUT,53441,,,NSE
SUPREMEIND-Jul2025-FUT,53442,,,NSE
SYNGENE-Jul2025-FUT,53443,,,NSE
TATACHEM-Jul2025-FUT,53448,,,NSE
TATACOMM-Jul2025-FUT,53449,,,NSE
TATACONSUM-Jul2025-FUT,53450,,,NSE
TATAELXSI-Jul2025-FUT,53451,,,NSE
TATAMOTORS-Jul2025-FUT,53452,,,NSE
TATAPOWER-Jul2025-FUT,53453,,,NSE
TATASTEEL-Jul2025-FUT,53454,,,NSE
TATATECH-Jul2025-FUT,53455,,,NSE
TCS-Jul2025-FUT,53460,,,NSE
TECHM-Jul2025-FUT,53461,,,NSE
TIINDIA-Jul2025-FUT,53464,,,NSE
TITAGARH-Jul2025-FUT,53465,,,NSE
TITAN-Jul2025-FUT,53466,,,NSE
TORNTPHARM-Jul2025-FUT,53467,,,NSE
TORNTPOWER-Jul2025-FUT,53468,,,NSE
TRENT-Jul2025-FUT,53469,,,NSE
TVSMOTOR-Jul2025-FUT,53470,,,NSE
ULTRACEMCO-Jul2025-FUT,53471,,,NSE
UNIONBANK-Jul2025-FUT,53472,,,NSE
UNITDSPR-Jul2025-FUT,53473,,,NSE
UPL-Jul2025-FUT,53474,,,NSE
VBL-Jul2025-FUT,53475,,,NSE
VEDL-Jul2025-FUT,53478,,,NSE
VOLTAS-Jul2025-FUT,53479,,,NSE
WIPRO-Jul2025-FUT,53480,,,NSE
YESBANK-Jul2025-FUT,53481,,,NSE
ZYDUSLIFE-Jul2025-FUT,53484,,,NSE
BANKNIFTY-Jun2025-FUT,56782,,,NSE
FINNIFTY-Jun2025-FUT,56783,,,NSE
MIDCPNIFTY-Jun2025-FUT,56784,,,NSE
NIFTY-Jun2025-FUT,56785,,,NSE
NIFTYNXT50-Jun2025-FUT,56786,,,NSE
AARTIIND-Jun2025-FUT,56787,,,NSE
ABB-Jun2025-FUT,56788,,,NSE
ABCAPITAL-Jun2025-FUT,56789,,,NSE
ABFRL-Jun2025-FUT,56794,,,NSE
ACC-Jun2025-FUT,56795,,,NSE
ADANIENSOL-Jun2025-FUT,56798,,,NSE
ADANIENT-Jun2025-FUT,56799,,,NSE
ADANIGREEN-Jun2025-FUT,56800,,,NSE
ADANIPORTS-Jun2025-FUT,56801,,,NSE
ALKEM-Jun2025-FUT,56806,,,NSE
AMBUJACEM-Jun2025-FUT,56807,,,NSE
ANGELONE-Jun2025-FUT,56808,,,NSE
APLAPOLLO-Jun2025-FUT,56809,,,NSE
APOLLOHOSP-Jun2025-FUT,56810,,,NSE
ASHOKLEY-Jun2025-FUT,56811,,,NSE
ASIANPAINT-Jun2025-FUT,56816,,,NSE
ASTRAL-Jun2025-FUT,56817,,,NSE
ATGL-Jun2025-FUT,56818,,,NSE
AUBANK-Jun2025-FUT,56819,,,NSE
AUROPHARMA-Jun2025-FUT,56822,,,NSE
AXISBANK-Jun2025-FUT,56823,,,NSE
BAJAJ-AUTO-Jun2025-FUT,56826,,,NSE
BAJAJFINSV-Jun2025-FUT,56827,,,NSE
BAJFINANCE-Jun2025-FUT,56828,,,NSE
BALKRISIND-Jun2025-FUT,56829,,,NSE
BANDHANBNK-Jun2025-FUT,56830,,,NSE
BANKBARODA-Jun2025-FUT,56831,,,NSE
BANKINDIA-Jun2025-FUT,56832,,,NSE
BEL-Jun2025-FUT,56833,,,NSE
BHARATFORG-Jun2025-FUT,56834,,,NSE
BHARTIARTL-Jun2025-FUT,56835,,,NSE
BHEL-Jun2025-FUT,56838,,,NSE
BIOCON-Jun2025-FUT,56839,,,NSE
BOSCHLTD-Jun2025-FUT,56844,,,NSE
BPCL-Jun2025-FUT,56845,,,NSE
BRITANNIA-Jun2025-FUT,56846,,,NSE
BSE-Jun2025-FUT,56847,,,NSE
BSOFT-Jun2025-FUT,56848,,,NSE
CAMS-Jun2025-FUT,56849,,,NSE
CANBK-Jun2025-FUT,56850,,,NSE
CDSL-Jun2025-FUT,56851,,,NSE
CESC-Jun2025-FUT,56852,,,NSE
CGPOWER-Jun2025-FUT,56853,,,NSE
CHAMBLFERT-Jun2025-FUT,56856,,,NSE
CHOLAFIN-Jun2025-FUT,56857,,,NSE
CIPLA-Jun2025-FUT,56858,,,NSE
COALINDIA-Jun2025-FUT,56859,,,NSE
COFORGE-Jun2025-FUT,56860,,,NSE
COLPAL-Jun2025-FUT,56861,,,NSE
CONCOR-Jun2025-FUT,56862,,,NSE
CROMPTON-Jun2025-FUT,56863,,,NSE
CUMMINSIND-Jun2025-FUT,56864,,,NSE
CYIENT-Jun2025-FUT,56865,,,NSE
DABUR-Jun2025-FUT,56900,,,NSE
DALBHARAT-Jun2025-FUT,56901,,,NSE
DELHIVERY-Jun2025-FUT,56904,,,NSE
DIVISLAB-Jun2025-FUT,56905,,,NSE
DIXON-Jun2025-FUT,56906,,,NSE
DLF-Jun2025-FUT,56907,,,NSE
DMART-Jun2025-FUT,56908,,,NSE
DRREDDY-Jun2025-FUT,56909,,,NSE
EICHERMOT-Jun2025-FUT,56910,,,NSE
EXIDEIND-Jun2025-FUT,56911,,,NSE
FEDERALBNK-Jun2025-FUT,56918,,,NSE
GAIL-Jun2025-FUT,56919,,,NSE
GLENMARK-Jun2025-FUT,56926,,,NSE
GMRAIRPORT-Jun2025-FUT,56927,,,NSE
GODREJCP-Jun2025-FUT,56928,,,NSE
GODREJPROP-Jun2025-FUT,56929,,,NSE
GRANULES-Jun2025-FUT,56930,,,NSE
GRASIM-Jun2025-FUT,56931,,,NSE
HAL-Jun2025-FUT,56932,,,NSE
HAVELLS-Jun2025-FUT,56933,,,NSE
HCLTECH-Jun2025-FUT,56940,,,NSE
HDFCAMC-Jun2025-FUT,56941,,,NSE
HDFCBANK-Jun2025-FUT,56946,,,NSE
HDFCLIFE-Jun2025-FUT,56947,,,NSE
HEROMOTOCO-Jun2025-FUT,56952,,,NSE
HFCL-Jun2025-FUT,56953,,,NSE
HINDALCO-Jun2025-FUT,56954,,,NSE
HINDCOPPER-Jun2025-FUT,56955,,,NSE
HINDPETRO-Jun2025-FUT,56956,,,NSE
HINDUNILVR-Jun2025-FUT,56957,,,NSE
HINDZINC-Jun2025-FUT,56966,,,NSE
HUDCO-Jun2025-FUT,56967,,,NSE
ICICIBANK-Jun2025-FUT,56968,,,NSE
ICICIGI-Jun2025-FUT,56969,,,NSE
ICICIPRULI-Jun2025-FUT,56970,,,NSE
IDEA-Jun2025-FUT,56971,,,NSE
IDFCFIRSTB-Jun2025-FUT,56972,,,NSE
IEX-Jun2025-FUT,56973,,,NSE
IGL-Jun2025-FUT,56986,,,NSE
IIFL-Jun2025-FUT,56987,,,NSE
INDHOTEL-Jun2025-FUT,56988,,,NSE
INDIANB-Jun2025-FUT,56989,,,NSE
INDIGO-Jun2025-FUT,56990,,,NSE
INDUSINDBK-Jun2025-FUT,56991,,,NSE
INDUSTOWER-Jun2025-FUT,56994,,,NSE
INFY-Jun2025-FUT,56995,,,NSE
INOXWIND-Jun2025-FUT,57002,,,NSE
IOC-Jun2025-FUT,57003,,,NSE
IRB-Jun2025-FUT,57004,,,NSE
IRCTC-Jun2025-FUT,57005,,,NSE
IREDA-Jun2025-FUT,57010,,,NSE
IRFC-Jun2025-FUT,57011,,,NSE
ITC-Jun2025-FUT,57012,,,NSE
JINDALSTEL-Jun2025-FUT,57013,,,NSE
JIOFIN-Jun2025-FUT,57020,,,NSE
JSL-Jun2025-FUT,57021,,,NSE
JSWENERGY-Jun2025-FUT,57024,,,NSE
JSWSTEEL-Jun2025-FUT,57025,,,NSE
JUBLFOOD-Jun2025-FUT,57026,,,NSE
KALYANKJIL-Jun2025-FUT,57027,,,NSE
KEI-Jun2025-FUT,57032,,,NSE
KOTAKBANK-Jun2025-FUT,57033,,,NSE
KPITTECH-Jun2025-FUT,57034,,,NSE
LAURUSLABS-Jun2025-FUT,57035,,,NSE
LICHSGFIN-Jun2025-FUT,57038,,,NSE
LICI-Jun2025-FUT,57039,,,NSE
LODHA-Jun2025-FUT,57042,,,NSE
LT-Jun2025-FUT,57043,,,NSE
LTF-Jun2025-FUT,57048,,,NSE
LTIM-Jun2025-FUT,57049,,,NSE
LUPIN-Jun2025-FUT,57050,,,NSE
M&M-Jun2025-FUT,57051,,,NSE
M&MFIN-Jun2025-FUT,57052,,,NSE
MANAPPURAM-Jun2025-FUT,57053,,,NSE
MARICO-Jun2025-FUT,57054,,,NSE
MARUTI-Jun2025-FUT,57055,,,NSE
MAXHEALTH-Jun2025-FUT,57056,,,NSE
MCX-Jun2025-FUT,57057,,,NSE
MFSL-Jun2025-FUT,57058,,,NSE
MGL-Jun2025-FUT,57059,,,NSE
MOTHERSON-Jun2025-FUT,57060,,,NSE
MPHASIS-Jun2025-FUT,57061,,,NSE
MUTHOOTFIN-Jun2025-FUT,57062,,,NSE
